Name                       Version                         Rev    Tracking         Publisher        Notes
bare                       1.0                             5      latest/stable    canonical**      base
brave                      1.93.138                        672    latest/stable    brave**          disabled
brave                      1.94.117                        674    latest/stable    brave**          -
claude-ai-desktop          1.4.15                          39     latest/stable    simonlinuxcraft  disabled
claude-ai-desktop          1.4.16                          40     latest/stable    simonlinuxcraft  -
code                       110a328e                        258    latest/stable    vscode**         disabled,classic
code                       08d4889f                        259    latest/stable    vscode**         classic
core18                     20260204                        2999   latest/stable    canonical**      base
core20                     20260410                        2866   latest/stable    canonical**      base
core22                     20260410                        2437   latest/stable    canonical**      base
core22                     20260225                        2411   latest/stable    canonical**      base,disabled
core24                     20260410                        1643   latest/stable    canonical**      base
core24                     20260317                        1587   latest/stable    canonical**      base,disabled
dbeaver-ce                 26.1.5.202608181400             543    latest/stable    dbeaver-corp     disabled,classic
dbeaver-ce                 26.2.0.202608301738             549    latest/stable    dbeaver-corp     classic
desktop-security-center    0+git.25daa58                   151    latest/stable    canonical**      -
desktop-security-center    0+git.80cd2b4                   150    latest/stable    canonical**      disabled
firefox                    154.0-1                         8763   latest/stable/…  mozilla**        -
firefox                    153.0.4-1                       8754   latest/stable/…  mozilla**        disabled
firmware-updater           0+git.5645b80                   226    1/stable/…       canonical**      -
gnome-3-28-1804            3.28.0-19-g98f9e67.98f9e67      198    latest/stable    canonical**      -
gnome-42-2204              0+git.4982e7b-sdk0+git.69b626a  263    latest/stable    canonical**      -
gnome-42-2204              0+git.c1d3d69-sdk0+git.015db9a  247    latest/stable    canonical**      disabled
gnome-46-2404              0+git.b31ceab-sdk0+git.f0723a0  164    latest/stable    canonical**      -
gnome-46-2404              0+git.f1cd5fa-sdk0+git.ca9c59c  153    latest/stable    canonical**      disabled
gtk-common-themes          0.1-81-g442e511                 1535   latest/stable/…  canonical**      -
mesa-2404                  25.0.7-snap211                  1165   latest/stable/…  canonical**      disabled
mesa-2404                  25.2.8-snap288                  1839   latest/stable/…  canonical**      -
postman                    11.71.7                         360    v11/stable       postman-inc**    -
prompting-client           0+git.33cd821                   222    latest/stable    canonical**      -
prompting-client           0+git.2e14a72                   204    latest/stable    canonical**      disabled
remmina                    v1.4.43                         7392   latest/stable    remmina**        -
snap-store                 0+git.10310e85                  1367   2/stable/…       canonical**      disabled
snap-store                 0+git.8334e2e4                  1390   2/stable/…       canonical**      -
snapd                      2.76.1                          27591  latest/stable    canonical**      snapd,disabled
snapd                      2.76.2                          27710  latest/stable    canonical**      snapd
snapd-desktop-integration  0.9                             391    latest/stable/…  canonical**      -
snapd-desktop-integration  0.9                             387    latest/stable/…  canonical**      disabled
spotify                    1.2.95.453.g0eeebbed            99     latest/stable    spotify**        -
spotify                    1.2.92.147.g5b8f9367            97     latest/stable    spotify**        disabled
